,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
0,00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gnta8ufi2vdp967dui9e",NYJ,2023,1,REG,BUF,0,1,0.0,0,0.0,1.0,10.0,0,0,17.0,0.0,0.0,-2.0319597721099854,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.0,0.0
1,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,4,REG,DEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,8.0,0,0.0,0.0,-3.0,11.0,0.0,0.4834648370742798,0,0.0,0.03125,-0.012396694160997868,0.038197312504053116,0.0,0.800000011920929,1.7999999523162842
2,00-0024243,M.Lewis,Marcedes Lewis,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ppq07tipygpftz5csipx",CHI,2023,7,REG,LV,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,16.0,0,0.0,0.0,5.0,11.0,1.0,1.4372237920761108,0,3.200000047683716,0.0357142873108387,0.0892857164144516,0.1160714253783226,0.0,1.600000023841858,2.5999999046325684
3,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,1,REG,SEA,24,38,334.0,0,0.0,0.0,-0.0,0,0,409.0,106.0,17.0,20.679981231689453,0,0.8166258931159973,0.21719005703926086,3,11.0,0,0.0,0.0,1.0,0.8680859208106995,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.460000038146973,14.460000038146973
4,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,2,REG,SF,34,55,307.0,1,2.0,1.0,10.0,0,0,363.0,144.0,17.0,-5.089192867279053,0,0.8457300066947937,-0.0297046210616827,4,17.0,0,0.0,0.0,1.0,-0.4383297264575958,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.979999542236328,13.979999542236328
5,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,3,REG,CIN,18,33,269.0,1,2.0,6.0,48.0,0,0,317.0,99.0,12.0,-8.404789924621582,0,0.8485804200172424,-0.010766178369522095,1,7.0,0,0.0,0.0,1.0,2.529576301574707,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.460000038146973,11.460000038146973
6,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,4,REG,IND,27,40,319.0,1,1.0,2.0,16.0,0,0,297.0,114.0,16.0,11.374351501464844,0,1.0740740299224854,0.17090177536010742,2,14.0,0,0.0,0.0,0.0,3.2659969329833984,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.15999984741211,16.15999984741211
7,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,5,REG,PHI,21,37,222.0,2,0.0,4.0,27.0,0,0,366.0,90.0,13.0,-2.5362610816955566,0,0.6065573692321777,-0.014530161395668983,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,16.8799991607666,16.8799991607666
8,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,6,REG,ARI,15,24,226.0,1,0.0,3.0,23.0,0,0,191.0,84.0,7.0,3.271050214767456,0,1.1832460165023804,0.1065811961889267,1,2.0,0,0.0,0.0,0.0,-0.4594523310661316,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.239999771118164,13.239999771118164
9,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,7,REG,PIT,14,29,231.0,1,1.0,2.0,12.0,0,0,263.0,112.0,8.0,-3.5908405780792236,1,0.8783270120620728,-0.05588122457265854,1,8.0,0,0.0,0.0,1.0,1.7414379119873047,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.039999961853027,14.039999961853027
10,00-0026625,B.Hoyer,Brian Hoyer,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/japt3mj2xctm7saqndxn",LV,2023,6,REG,NE,6,10,102.0,0,0.0,0.0,-0.0,0,0,120.0,24.0,4.0,4.752259254455566,0,0.8500000238418579,0.23076297342777252,3,-3.0,0,0.0,0.0,0.0,-1.8153455257415771,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,3.7799999713897705,3.7799999713897705
11,00-0026625,B.Hoyer,Brian Hoyer,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/japt3mj2xctm7saqndxn",LV,2023,7,REG,CHI,17,32,129.0,0,2.0,1.0,8.0,0,0,216.0,56.0,10.0,-13.533031463623047,0,0.5972222089767456,-0.04986773803830147,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.159999966621399,1.159999966621399
12,00-0027696,J.Graham,Jimmy Graham,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",NO,2023,3,REG,GB,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,8.0,1,0.0,0.0,8.0,0.0,1.0,2.708026885986328,0,1.0,0.029411764815449715,0.02909090928733349,0.06448128074407578,0.0,6.800000190734863,7.800000190734863
13,00-0027696,J.Graham,Jimmy Graham,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h7xs06oj6g03mippwtse",NO,2023,5,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,6.0,0.0,0.0,-1.9044729471206665,0,0.0,0.03999999910593033,0.02500000037252903,0.07750000059604645,0.0,0.0,0.0
14,00-0027944,J.Jones,Julio Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zr7o7ow6cdb3ata0errd",PHI,2023,7,REG,MIA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,3.0,0,0.0,0.0,2.0,1.0,0.0,-0.15366476774215698,0,1.5,0.03333333507180214,0.00909090880304575,0.05636363476514816,0.0,0.30000001192092896,1.2999999523162842
15,00-0027948,B.Gabbert,Blaine Gabbert,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fphhd3wedamgkps6e0dl",KC,2023,3,REG,CHI,3,5,31.0,0,2.0,0.0,-0.0,0,0,31.0,9.0,2.0,-6.706045627593994,0,1.0,0.040773022919893265,2,-1.0,0,0.0,0.0,0.0,-2.4900472164154053,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-2.859999895095825,-2.859999895095825
16,00-0027973,A.Dalton,Andy Dalton,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xrwmjyexhhwpoxhtrhl2",CAR,2023,3,REG,SEA,34,58,361.0,2,0.0,3.0,27.0,0,0,477.0,128.0,17.0,4.5483293533325195,0,0.7568134069442749,0.06331220269203186,2,11.0,0,0.0,0.0,1.0,1.0509129762649536,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.540000915527344,23.540000915527344
17,00-0027973,A.Dalton,Andy Dalton,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xrwmjyexhhwpoxhtrhl2",CAR,2023,5,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,1.0,0,0.0,0.0,1.0,0.3775469660758972,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.10000000149011612,0.10000000149011612
