,Team Name,QB,RB,WR,TE
0,ARI,56.73,55.05,104.85000000000001,11.4
0,ATL,53.64,48.599999999999994,67.65,31.199999999999992
0,BAL,42.12,49.8,116.70000000000002,51.0
0,BUF,34.919999999999995,49.650000000000006,56.24999999999999,36.449999999999996
0,CAR,55.35,93.45,77.39999999999999,48.45000000000001
0,CHI,31.47,60.599999999999994,80.1,17.099999999999998
0,CIN,31.469999999999995,61.80000000000001,62.25000000000001,18.300000000000004
0,CLE,36.99,58.05,62.55,25.950000000000003
0,DAL,52.62000000000001,107.7,81.0,21.150000000000002
0,DEN,43.82999999999999,43.349999999999994,47.7,27.75
0,DET,50.22,32.25,144.45000000000005,12.45
0,GB,39.42,80.69999999999997,99.45,24.750000000000004
0,HOU,50.16,42.45,80.55000000000001,13.2
0,IND,47.46000000000001,69.75,117.0,16.650000000000002
0,JAX,51.69,28.349999999999998,113.85,7.95
0,KC,63.51,46.34999999999999,74.09999999999998,87.9
0,LA,55.980000000000004,90.59999999999998,57.14999999999998,46.8
0,LAC,27.3,56.84999999999999,51.14999999999999,33.3
0,LV,40.10999999999999,72.74999999999999,86.24999999999999,34.05000000000001
0,MIA,31.26,83.55000000000001,40.05,13.200000000000001
0,MIN,28.35,43.64999999999999,66.6,43.94999999999999
0,NE,38.91,55.95,120.75,13.499999999999998
0,NO,46.76,33.150000000000006,97.19999999999999,17.55
0,NYG,42.089999999999996,77.85,84.59999999999997,29.85
0,NYJ,32.58,63.74999999999999,71.1,16.95
0,PHI,50.91,64.35,142.65,16.05
0,PIT,21.810000000000002,49.64999999999999,61.65,26.400000000000002
0,SEA,32.370000000000005,56.1,60.150000000000006,35.4
0,SF,51.96,58.5,124.35,7.199999999999999
0,TB,55.410000000000004,98.09999999999998,88.05,13.65
0,TEN,33.54,75.6,42.30000000000001,6.449999999999999
0,WAS,71.67,61.050000000000004,154.95,2.25
