,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
32,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,12.0,0,0.0,0.0,9.0,3.0,1.0,0.757165253162384,0,1.3333333730697632,0.0645161271095275,0.039473682641983,0.1244057714939117,0.0,1.2000000476837158,3.200000047683716
438,00-0034830,H.Hurst,Hayden Hurst,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/evevkgcgy0suudtprryp",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,7,41.0,1,0.0,0.0,57.0,13.0,3.0,-0.2310390770435333,0,0.719298243522644,0.2258064448833465,0.25,0.5137096643447876,0.0,10.100000381469728,15.100000381469728
500,00-0035243,M.Sanders,Miles Sanders,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vzctez3oxwdttiyukq18",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,72.0,0,1.0,1.0,2.0,-5.107153415679932,0,4,6,26.0,0,0.0,0.0,-4.0,27.0,1.0,0.3339713513851166,0,-6.5,0.1935483813285827,-0.0175438597798347,0.2780418694019317,0.0,7.800000190734863,11.800000190734863
601,00-0035956,G.Ricci,Giovanni Ricci,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ojul5dmnha0y7xygwwn2",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,2.0,0,0.0,0.0,-1.0,3.0,0.0,-0.4896492958068847,0,0.0,0.0322580635547637,-0.0043859649449586,0.04531691968441,0.0,0.2000000029802322,1.2000000476837158
421,00-0034796,L.Jackson,Lamar Jackson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wj1fwvvkjaqztm56ybzu",BAL,2023,1,REG,HOU,17,22,169.0,0,1.0,4.0,14.0,1,1,102.0,84.0,8.0,-4.41566276550293,0,1.656862735748291,0.0961559489369392,6,38.0,0,1.0,0.0,3.0,1.4454559087753296,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,6.559999942779541,6.559999942779541
667,00-0036268,L.Shenault,Laviska Shenault,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yohlrvcnnibrtfsc15t5",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,5.0,0,0.0,0.0,0.0,-0.9867308735847472,0,2,2,16.0,0,0.0,0.0,-11.0,27.0,1.0,2.04931902885437,0,0.0,0.0645161271095275,-0.0482456125319004,0.0630022659897804,0.0,2.0999999046325684,4.099999904632568
768,00-0036555,C.Hubbard,Chuba Hubbard,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f7xzicbrj7lacu7ytzd9",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,9,60.0,0,0.0,0.0,6.0,-1.3028751611709597,0,2,2,9.0,0,0.0,0.0,-4.0,13.0,0.0,-1.1363431215286257,0,-2.25,0.0645161271095275,-0.0175438597798347,0.084493488073349,0.0,6.900000095367432,8.899999618530273
857,00-0036955,T.Marshall,Terrace Marshall,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wyzlucfowqdntj6nkh7m",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,6,23.0,0,0.0,0.0,95.0,6.0,2.0,-4.276235103607178,0,0.2421052604913711,0.1935483813285827,0.4166666567325592,0.5819892287254333,0.0,2.299999952316284,4.300000190734863
1238,00-0039062,J.Mingo,Jonathan Mingo,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ie1yo3orpq0mqemptnko",CAR,2023,1,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,5,17.0,0,0.0,0.0,87.0,0.0,1.0,-0.1101895272731781,0,0.1954022943973541,0.1612903177738189,0.3815789520740509,0.5090407729148865,0.0,1.7000000476837158,3.700000047683716
1271,00-0039150,B.Young,Bryce Young,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/knekunqi7nlnwgxnelb8",CAR,2023,1,REG,ATL,20,38,146.0,1,2.0,2.0,19.0,0,0,281.0,92.0,9.0,-10.528563499450684,0,0.5195729732513428,-0.0024002999998629,3,17.0,0,1.0,0.0,1.0,-1.500685214996338,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,7.539999961853027,7.539999961853027
603,00-0035973,P.Taylor,Patrick Taylor,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bd91ck9vlzmb5mlxvrch",GB,2023,2,REG,ATL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,1.0,0,0.0,0.0,0.0,-0.6209606528282166,0,0,1,0.0,0,0.0,0.0,-2.0,0.0,0.0,-0.5252769589424133,0,-0.0,0.0399999991059303,-0.0090497741475701,0.0536651574075222,0.0,0.1000000014901161,0.1000000014901161
660,00-0036264,J.Love,Jordan Love,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sbnqsffanu76dcz1tugs",GB,2023,2,REG,ATL,14,25,151.0,3,0.0,1.0,11.0,0,0,221.0,74.0,10.0,2.631138801574707,0,0.6832579374313354,0.1225598827004432,2,23.0,0,0.0,0.0,1.0,3.143873929977417,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.34000015258789,20.34000015258789
