,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
48,00-0030431,R.Woods,Robert Woods,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ksw0cui3nmzzaxwnkstl",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,10,57.0,0,0.0,0.0,75.0,21.0,4.0,2.579465627670288,0,0.7599999904632568,0.2325581461191177,0.2884615361690521,0.5507602691650391,0.0,5.699999809265137,11.699999809265137
267,00-0033591,N.Brown,Noah Brown,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mo0v6bxy9vpxtzndba7r",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-1.0,0,0.0,0.0,0.0,-1.1092690229415894,0,3,4,20.0,0,0.0,0.0,-13.0,28.0,0.0,-1.353126883506775,0,0.0,0.0930232554674148,-0.050000000745058,0.1045348867774009,0.0,1.899999976158142,4.900000095367432
337,00-0034208,M.Boone,Mike Boone,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rcrpzluchltmk9stwtfc",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,18.0,0,0.0,0.0,-7.0,21.0,1.0,-0.4088343977928161,0,-2.5714285373687744,0.0930232554674148,-0.0269230771809816,0.1206887289881706,0.0,1.7999999523162842,4.800000190734863
370,00-0034383,D.Schultz,Dalton Schultz,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mbqinxum5qovm6p8xgkc",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,4.0,0,0.0,0.0,6.0,8.0,0.0,-2.3736088275909424,0,0.6666666865348816,0.0930232554674148,0.0230769235640764,0.1556887328624725,0.0,0.4000000059604645,2.400000095367432
507,00-0035250,D.Singletary,Devin Singletary,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/d9ifpvw57zivczxlpxdh",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,7,15.0,0,0.0,0.0,0.0,-1.8329999446868896,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.5,1.5
764,00-0036554,N.Collins,Nico Collins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iyfqbpftpdxtwst9wtda",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,11,80.0,0,0.0,0.0,158.0,21.0,3.0,3.7663893699646,0,0.5063291192054749,0.2558139562606811,0.607692301273346,0.8091055750846863,0.0,8.0,14.0
947,00-0037258,D.Pierce,Dameon Pierce,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lcq9gwdxdbcymz2ggglx",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,11,38.0,0,0.0,0.0,0.0,-4.594449520111084,0,2,3,9.0,0,0.0,0.0,0.0,14.0,0.0,-2.653472423553467,0,0.0,0.0697674453258514,0.0,0.1046511605381965,0.0,4.699999809265137,6.699999809265137
965,00-0037277,T.Quitoriano,Teagan Quitoriano,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o4gnaivz9jlczc3ulvpg",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,11.0,0,0.0,0.0,1.0,10.0,1.0,1.606474757194519,0,11.0,0.0232558138668537,0.0038461538497358,0.0375760272145271,0.0,1.100000023841858,2.0999999046325684
1155,00-0038618,X.Hutchinson,Xavier Hutchinson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tdpopgfwgepp8l8rivfz",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,9.0,0,0.0,0.0,7.0,2.0,1.0,0.1052447333931922,0,1.2857142686843872,0.0232558138668537,0.0269230771809816,0.053729873150587,0.0,0.8999999761581421,1.899999976158142
1208,00-0038977,N.Dell,Nathaniel Dell,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vxkqythvtp5ujzpqlvsk",HOU,2023,1,REG,BAL,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,34.0,0,0.0,0.0,34.0,7.0,3.0,2.40138840675354,0,1.0,0.0930232554674148,0.1307692378759384,0.2310733497142791,0.0,3.400000095367432,6.400000095367432
