,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
96,00-0033553,J.Conner,James Conner,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rtvys5j7sxjrlbpy5iim",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,50.0,1,0.0,0.0,3.0,-4.00904,1,3,4,33.0,0,0.0,0.0,-10.0,37.0,1.0,1.6488682,0,-3.3,0.12903225,-0.05235602,0.15689917,0.0,16.3,19.3
96,00-0033553,J.Conner,James Conner,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rtvys5j7sxjrlbpy5iim",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,50.0,1,0.0,0.0,3.0,-4.00904,1,3,4,33.0,0,0.0,0.0,-10.0,37.0,1.0,1.6488682,0,-3.3,0.12903225,-0.05235602,0.15689917,0.0,16.3,19.3
96,00-0033553,J.Conner,James Conner,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/rtvys5j7sxjrlbpy5iim",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,50.0,1,0.0,0.0,3.0,-4.00904,1,3,4,33.0,0,0.0,0.0,-10.0,37.0,1.0,1.6488682,0,-3.3,0.12903225,-0.05235602,0.15689917,0.0,16.3,19.3
205,00-0035228,K.Murray,Kyler Murray,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsladvvsaptc29bbcah2",ARI,2024,1,REG,BUF,21,31,162.0,1,0.0,4.0,16.0,1,1,191.0,100.0,10.0,-1.1848497,0,0.84816754,0.1193856,5,57.0,0,0.0,0.0,3.0,7.9429326,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.18,14.18
205,00-0035228,K.Murray,Kyler Murray,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsladvvsaptc29bbcah2",ARI,2024,1,REG,BUF,21,31,162.0,1,0.0,4.0,16.0,1,1,191.0,100.0,10.0,-1.1848497,0,0.84816754,0.1193856,5,57.0,0,0.0,0.0,3.0,7.9429326,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.18,14.18
205,00-0035228,K.Murray,Kyler Murray,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lsladvvsaptc29bbcah2",ARI,2024,1,REG,BUF,21,31,162.0,1,0.0,4.0,16.0,1,1,191.0,100.0,10.0,-1.1848497,0,0.84816754,0.1193856,5,57.0,0,0.0,0.0,3.0,7.9429326,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.18,14.18
221,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkog6lrht3rnktwiberj",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,4.0,0,0.0,0.0,0.0,-0.16286963,0,6,8,47.0,0,0.0,0.0,71.0,18.0,4.0,2.4551854,0,0.6619718,0.2580645,0.37172773,0.6473062,0.0,5.1,11.1
221,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkog6lrht3rnktwiberj",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,4.0,0,0.0,0.0,0.0,-0.16286963,0,6,8,47.0,0,0.0,0.0,71.0,18.0,4.0,2.4551854,0,0.6619718,0.2580645,0.37172773,0.6473062,0.0,5.1,11.1
221,00-0035500,G.Dortch,Greg Dortch,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/gkog6lrht3rnktwiberj",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,4.0,0,0.0,0.0,0.0,-0.16286963,0,6,8,47.0,0,0.0,0.0,71.0,18.0,4.0,2.4551854,0,0.6619718,0.2580645,0.37172773,0.6473062,0.0,5.1,11.1
300,00-0036425,D.Dallas,DeeJay Dallas,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsij89kqrxap0jba9zwh",ARI,2024,1,REG,BUF,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,1.0,6.0,6.0
