,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
25,00-0031280,D.Carr,Derek Carr,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",NO,2024,1,REG,CAR,19,23,200.0,3,0.0,1.0,1.0,0,0,200.0,96.0,7.0,8.547131,0,1.0,0.26064464,2,13.0,0,0.0,0.0,1.0,-0.3252979,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.3,21.3
25,00-0031280,D.Carr,Derek Carr,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",NO,2024,1,REG,CAR,19,23,200.0,3,0.0,1.0,1.0,0,0,200.0,96.0,7.0,8.547131,0,1.0,0.26064464,2,13.0,0,0.0,0.0,1.0,-0.3252979,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.3,21.3
25,00-0031280,D.Carr,Derek Carr,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/qsz1pyrlu6bmvby6maaf",NO,2024,1,REG,CAR,19,23,200.0,3,0.0,1.0,1.0,0,0,200.0,96.0,7.0,8.547131,0,1.0,0.26064464,2,13.0,0,0.0,0.0,1.0,-0.3252979,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.3,21.3
87,00-0033357,T.Hill,Taysom Hill,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q8itjlocg5do60qat4l3",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,5,35.0,0,0.0,0.0,4.0,3.0437293,0,1,2,1.0,0,0.0,0.0,22.0,1.0,0.0,0.8398953,0,0.045454547,0.083333336,0.10576923,0.19903846,0.0,3.6,4.6
87,00-0033357,T.Hill,Taysom Hill,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q8itjlocg5do60qat4l3",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,5,35.0,0,0.0,0.0,4.0,3.0437293,0,1,2,1.0,0,0.0,0.0,22.0,1.0,0.0,0.8398953,0,0.045454547,0.083333336,0.10576923,0.19903846,0.0,3.6,4.6
87,00-0033357,T.Hill,Taysom Hill,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/q8itjlocg5do60qat4l3",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,5,35.0,0,0.0,0.0,4.0,3.0437293,0,1,2,1.0,0,0.0,0.0,22.0,1.0,0.0,0.8398953,0,0.045454547,0.083333336,0.10576923,0.19903846,0.0,3.6,4.6
123,00-0033906,A.Kamara,Alvin Kamara,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,83.0,1,0.0,0.0,5.0,5.5088787,0,5,5,27.0,0,0.0,0.0,-17.0,44.0,0.0,-0.22240311,0,-1.5882353,0.20833333,-0.08173077,0.25528845,0.0,17.0,22.0
123,00-0033906,A.Kamara,Alvin Kamara,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,83.0,1,0.0,0.0,5.0,5.5088787,0,5,5,27.0,0,0.0,0.0,-17.0,44.0,0.0,-0.22240311,0,-1.5882353,0.20833333,-0.08173077,0.25528845,0.0,17.0,22.0
123,00-0033906,A.Kamara,Alvin Kamara,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,83.0,1,0.0,0.0,5.0,5.5088787,0,5,5,27.0,0,0.0,0.0,-17.0,44.0,0.0,-0.22240311,0,-1.5882353,0.20833333,-0.08173077,0.25528845,0.0,17.0,22.0
132,00-0033948,J.Williams,Jamaal Williams,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxrxpgcwq5qwp88vqnp3",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,11,38.0,1,0.0,0.0,3.0,-0.9122353,0,1,1,13.0,0,0.0,0.0,4.0,9.0,1.0,1.358555,0,3.25,0.041666668,0.01923077,0.07596154,0.0,11.1,12.1
132,00-0033948,J.Williams,Jamaal Williams,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/yxrxpgcwq5qwp88vqnp3",NO,2024,1,REG,CAR,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,11,38.0,1,0.0,0.0,3.0,-0.9122353,0,1,1,13.0,0,0.0,0.0,4.0,9.0,1.0,1.358555,0,3.25,0.041666668,0.01923077,0.07596154,0.0,11.1,12.1
