,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
40,00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mq9ih2olutji2nufwbvj",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,2,0.0,0,0.0,0.0,86.0,0.0,0.0,-2.1259560585021973,0,0.0,0.0689655169844627,0.2613981664180755,0.2864269912242889,0.0,0.0,0.0
104,00-0031544,A.Cooper,Amari Cooper,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zibbxjtein7gpu5zgcj4",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,7,37.0,0,0.0,0.0,122.0,1.0,2.0,-0.5473477244377136,0,0.3032786846160888,0.2413793057203292,0.3708206713199615,0.6216434240341187,0.0,3.700000047683716,6.699999809265137
252,00-0033537,D.Watson,Deshaun Watson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/otfs2docj6eahaebo5xn",CLE,2023,1,REG,CIN,16,29,154.0,1,1.0,3.0,10.0,0,0,329.0,62.0,9.0,-10.871305465698242,0,0.4680851101875305,-0.0124033624306321,5,45.0,1,0.0,0.0,3.0,6.364469051361084,1,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.65999984741211,20.65999984741211
291,00-0033885,D.Njoku,David Njoku,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ilvxwdllivrvwbuj69cm",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,24.0,0,0.0,0.0,7.0,22.0,1.0,1.0334962606430054,0,3.4285714626312256,0.1034482792019844,0.0212765950709581,0.1700660288333892,0.0,2.400000095367432,4.400000095367432
365,00-0034364,J.Akins,Jordan Akins,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fgkl9zfpy2yxrkxfge84",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,12.0,0,0.0,0.0,1.0,11.0,1.0,1.718381643295288,0,12.0,0.0344827584922313,0.0030395137146115,0.0538517981767654,0.0,1.2000000476837158,2.200000047683716
419,00-0034791,N.Chubb,Nick Chubb,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8ib0haur75wrhqrbtyo",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,106.0,0,0.0,0.0,7.0,2.529771327972412,0,4,4,21.0,0,0.0,0.0,1.0,20.0,1.0,0.7501136660575867,0,21.0,0.1379310339689254,0.0030395137146115,0.2090242058038711,0.0,12.699999809265137,16.700000762939453
634,00-0036232,H.Bryant,Harrison Bryant,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rqva2z0by1veklpxnzis",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,5.0,1,0.0,0.0,4.0,1.0,1.0,0.0628382936120033,0,1.25,0.0689655169844627,0.0121580548584461,0.1119589135050773,0.0,6.5,8.5
638,00-0036233,D.Peoples-Jones,Donovan Peoples-Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gdzsmym2jtgzpbytscxa",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,12.0,0,0.0,0.0,31.0,0.0,1.0,0.2606119215488434,0,0.3870967626571655,0.0689655169844627,0.0942249223589897,0.1694057285785675,0.0,1.2000000476837158,2.200000047683716
758,00-0036493,D.Jackson,Deon Jackson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wvi0pz27h6t7gfjujxis",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,13,14.0,0,1.0,1.0,1.0,-10.696990966796877,0,5,6,14.0,0,1.0,1.0,-6.0,20.0,0.0,-8.510520935058594,0,-2.3333332538604736,0.1538461595773697,-0.027522936463356,0.2115031778812408,0.0,-1.2000000476837158,3.799999952316284
880,00-0036980,E.Moore,Elijah Moore,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bhwvzckfhhcqhb7zdqyj",CLE,2023,1,REG,CIN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,19.0,0,0.0,0.0,1.0,0.3696068227291107,0,3,7,43.0,0,0.0,0.0,64.0,7.0,2.0,-7.251435279846191,0,0.671875,0.2413793057203292,0.1945288777351379,0.4982391893863678,0.0,6.199999809265137,9.199999809265137
