,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
23,00-0031236,B.Cooks,Brandin Cooks,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,5.0,0,0.0,0.0,0.0,-0.6799812,0,4,7,40.0,1,0.0,0.0,79.0,5.0,2.0,-0.11523436,0,0.5063291,0.22580644,0.31102362,0.5564262,0.0,10.5,14.5
23,00-0031236,B.Cooks,Brandin Cooks,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,5.0,0,0.0,0.0,0.0,-0.6799812,0,4,7,40.0,1,0.0,0.0,79.0,5.0,2.0,-0.11523436,0,0.5063291,0.22580644,0.31102362,0.5564262,0.0,10.5,14.5
23,00-0031236,B.Cooks,Brandin Cooks,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pjoksfxpbba4hevwpuop",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,5.0,0,0.0,0.0,0.0,-0.6799812,0,4,7,40.0,1,0.0,0.0,79.0,5.0,2.0,-0.11523436,0,0.5063291,0.22580644,0.31102362,0.5564262,0.0,10.5,14.5
67,00-0033045,E.Elliott,Ezekiel Elliott,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d4yr6htg4dbs0bgcfqnd",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,10,40.0,1,0.0,0.0,2.0,0.98246914,0,2,2,9.0,0,0.0,0.0,-4.0,13.0,1.0,-0.2363549,0,-2.25,0.06451613,-0.015748031,0.08575057,0.0,10.9,12.9
67,00-0033045,E.Elliott,Ezekiel Elliott,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d4yr6htg4dbs0bgcfqnd",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,10,40.0,1,0.0,0.0,2.0,0.98246914,0,2,2,9.0,0,0.0,0.0,-4.0,13.0,1.0,-0.2363549,0,-2.25,0.06451613,-0.015748031,0.08575057,0.0,10.9,12.9
67,00-0033045,E.Elliott,Ezekiel Elliott,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/d4yr6htg4dbs0bgcfqnd",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,10,40.0,1,0.0,0.0,2.0,0.98246914,0,2,2,9.0,0,0.0,0.0,-4.0,13.0,1.0,-0.2363549,0,-2.25,0.06451613,-0.015748031,0.08575057,0.0,10.9,12.9
69,00-0033077,D.Prescott,Dak Prescott,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j",DAL,2024,1,REG,CLE,19,32,179.0,1,0.0,3.0,16.0,1,0,290.0,100.0,8.0,-6.667338,0,0.6172414,-0.012328933,1,3.0,0,0.0,0.0,1.0,0.43215162,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.46,11.46
69,00-0033077,D.Prescott,Dak Prescott,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j",DAL,2024,1,REG,CLE,19,32,179.0,1,0.0,3.0,16.0,1,0,290.0,100.0,8.0,-6.667338,0,0.6172414,-0.012328933,1,3.0,0,0.0,0.0,1.0,0.43215162,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.46,11.46
69,00-0033077,D.Prescott,Dak Prescott,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/xmtaggdnhuyl4pdwtv8j",DAL,2024,1,REG,CLE,19,32,179.0,1,0.0,3.0,16.0,1,0,290.0,100.0,8.0,-6.667338,0,0.6172414,-0.012328933,1,3.0,0,0.0,0.0,1.0,0.43215162,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.46,11.46
105,00-0033662,C.Rush,Cooper Rush,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/amuag2qiwa9veml1lhvs",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.1,-0.1
105,00-0033662,C.Rush,Cooper Rush,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/amuag2qiwa9veml1lhvs",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.1,-0.1
105,00-0033662,C.Rush,Cooper Rush,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/amuag2qiwa9veml1lhvs",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.1,-0.1
250,00-0036139,R.Dowdle,Rico Dowdle,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe8ge4f6vvtyihou5czu",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,26.0,0,0.0,0.0,2.0,-1.3310324,0,1,1,6.0,0,0.0,0.0,1.0,5.0,0.0,0.29109538,0,6.0,0.032258064,0.003937008,0.051143,0.0,3.2,4.2
250,00-0036139,R.Dowdle,Rico Dowdle,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe8ge4f6vvtyihou5czu",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,26.0,0,0.0,0.0,2.0,-1.3310324,0,1,1,6.0,0,0.0,0.0,1.0,5.0,0.0,0.29109538,0,6.0,0.032258064,0.003937008,0.051143,0.0,3.2,4.2
250,00-0036139,R.Dowdle,Rico Dowdle,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe8ge4f6vvtyihou5czu",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,26.0,0,0.0,0.0,2.0,-1.3310324,0,1,1,6.0,0,0.0,0.0,1.0,5.0,0.0,0.29109538,0,6.0,0.032258064,0.003937008,0.051143,0.0,3.2,4.2
290,00-0036358,C.Lamb,CeeDee Lamb,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/tfuj9njqdw2dovkwhryc",DAL,2024,1,REG,CLE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,25.0,0,0.0,0.0,2.0,0.8322726,0,5,10,61.0,0,0.0,0.0,107.0,32.0,2.0,-2.2332177,0,0.57009345,0.32258064,0.42125985,0.77875286,0.0,8.6,13.6
