,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
84,00-0031376,J.McKinnon,Jerick McKinnon,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yezxe2j778cndbhkxwez",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,10.0,0,0.0,0.0,5.0,4.0,1.0,-0.2058399617671966,0,2.0,0.0540540553629398,0.0145772593095898,0.0912851616740226,0.0,1.0,2.0
134,00-0032062,B.Bell,Blake Bell,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eqrmmjto8koqqc9j2kjj",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,12.0,1,0.0,0.0,13.0,8.0,1.0,1.0904157161712646,0,0.9230769276618958,0.0810810774564743,0.0379008762538433,0.1481522321701049,0.0,7.199999809265137,9.199999809265137
283,00-0033873,P.Mahomes,Patrick Mahomes,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oagzjdsdoezmp6frggrn",KC,2023,1,REG,DET,21,39,226.0,2,1.0,0.0,-0.0,0,0,354.0,113.0,10.0,-6.453612804412842,0,0.6384180784225464,0.0240968782454729,6,45.0,0,0.0,0.0,3.0,2.924736261367798,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,19.540000915527344,19.540000915527344
343,00-0034272,M.Valdes-Scantling,Marquez Valdes-Scantling,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zk2f2ivzdssgoaamf57u",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,48.0,0,0.0,0.0,46.0,2.0,2.0,4.062221527099609,0,1.04347825050354,0.0540540553629398,0.1341107934713363,0.1749586313962936,0.0,4.800000190734863,6.800000190734863
349,00-0034286,R.James,Richie James,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qusoivtzbud2wl0spptz",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,6.0,0,0.0,0.0,43.0,1.0,0.0,-0.3345423936843872,0,0.1395348906517028,0.0540540553629398,0.1253644376993179,0.1688361763954162,0.0,0.6000000238418579,1.600000023841858
374,00-0034386,J.Watson,Justin Watson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vr9tayyujt23takv3hv3",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,45.0,0,0.0,0.0,102.0,4.0,2.0,1.704431414604187,0,0.4411764740943908,0.1081081107258796,0.2973760962486267,0.3703254163265228,0.0,4.5,6.5
717,00-0036360,C.Edwards-Helaire,Clyde Edwards-Helaire,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ki0pdedjayv47nec4lh1",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,6,22.0,0,0.0,0.0,1.0,-0.950365960597992,0,1,1,7.0,0,0.0,0.0,0.0,7.0,0.0,0.3680236637592315,0,0.0,0.0270270276814699,0.0,0.0405405387282371,0.0,2.900000095367432,3.900000095367432
790,00-0036637,N.Gray,Noah Gray,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bfwc5wzyawwhpwphz2hv",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,31.0,0,0.0,0.0,36.0,22.0,1.0,-0.9840160012245178,0,0.8611111044883728,0.1351351290941238,0.1049562692642211,0.2761721014976501,0.0,3.0999999046325684,6.099999904632568
837,00-0036913,K.Toney,Kadarius Toney,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sptr6q2brsttjjg4zkov",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-1.0,0,0.0,0.0,0.0,-0.7399911880493164,0,1,5,1.0,0,0.0,0.0,41.0,4.0,0.0,-11.438775062561035,0,0.0243902429938316,0.1351351290941238,0.1195335313677787,0.2863761782646179,0.0,0.0,1.0
914,00-0037197,I.Pacheco,Isiah Pacheco,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rzr8nxjunjeiv8bjir59",KC,2023,1,REG,DET,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,23.0,0,0.0,0.0,2.0,-1.3373385667800903,0,4,4,31.0,0,0.0,0.0,-15.0,46.0,1.0,2.692883253097534,0,-2.066666603088379,0.1081081107258796,-0.0437317788600921,0.1315499246120453,0.0,5.400000095367432,9.399999618530272
