,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
207,00-0033217,M.Alie-Cox,Mo Alie-Cox,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vaiszuzdtyszme2bkfxv",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,2,0.0,0,0.0,0.0,39.0,0.0,0.0,-4.137313365936279,0,0.0,0.0512820519506931,0.1788990795612335,0.2021524310111999,0.0,0.0,0.0
516,00-0035289,G.Minshew,Gardner Minshew,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvv8ki5crxio2rxfwzng",IND,2023,1,REG,JAX,0,2,0.0,0,0.0,0.0,-0.0,0,0,2.0,0.0,0.0,-4.7546162605285645,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.0,0.0
649,00-0036252,M.Pittman,Michael Pittman,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wnymcombo2plamteihiy",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,11,97.0,1,0.0,0.0,73.0,48.0,4.0,-0.9917530417442322,0,1.32876718044281,0.2820512950420379,0.3348623812198639,0.6574805974960327,0.0,15.699999809265137,23.700000762939453
802,00-0036860,J.Funk,Jake Funk,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/usql5tnx3qhuk3mubmfs",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,10.0,0,0.0,0.0,0.0,-0.8838891386985779,0,1,1,12.0,0,0.0,0.0,0.0,12.0,1.0,1.413817286491394,0,0.0,0.0256410259753465,0.0,0.0384615398943424,0.0,2.200000047683716,3.200000047683716
810,00-0036876,K.Granson,Kylen Granson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vqpymhfwmfrtlzfpv60p",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,6,39.0,0,0.0,0.0,39.0,24.0,4.0,2.521732807159424,0,1.0,0.1538461595773697,0.1788990795612335,0.3559985756874084,0.0,3.900000095367432,7.900000095367432
967,00-0037292,A.Ogletree,Andrew Ogletree,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ob0ux8wb5o4ciqduchma",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,20.0,0,0.0,0.0,28.0,5.0,1.0,2.268033504486084,0,0.7142857313156128,0.0512820519506931,0.1284403651952743,0.1668313294649124,0.0,2.0,3.0
1000,00-0037664,A.Pierce,Alec Pierce,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ya4sqdf9lzrm4ql8eywi",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,5.0,0,0.0,0.0,22.0,1.0,1.0,-0.8601155281066895,0,0.2272727340459823,0.0769230797886848,0.1009174287319183,0.1860268115997314,0.0,0.5,1.5
1110,00-0038397,E.Hull,Evan Hull,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lepeknto78rw85yxigcv",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,1.0,0,0.0,0.0,0.0,-1.4869537353515625,0,1,1,6.0,0,0.0,0.0,3.0,3.0,0.0,-0.1081181466579437,0,2.0,0.0256410259753465,0.013761468231678,0.0480945669114589,0.0,0.699999988079071,1.7000000476837158
1218,00-0038997,J.Downs,Josh Downs,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wdrwbumtvwv8s9te8wof",IND,2023,1,REG,JAX,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,7,30.0,0,0.0,0.0,20.0,23.0,1.0,-1.754032850265503,0,1.5,0.1794871836900711,0.0917431190609932,0.3334509432315826,0.0,3.0,6.0
1278,00-0039164,A.Richardson,Anthony Richardson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bqrc00wmzjbz1asoapvk",IND,2023,1,REG,JAX,24,37,223.0,1,1.0,4.0,8.0,0,0,216.0,136.0,12.0,-4.387141227722168,0,1.0324074029922483,-0.0126892244443297,10,40.0,1,0.0,0.0,3.0,-0.2414975017309188,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.920000076293945,20.920000076293945
