,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
19,00-0029293,M.Jones,Marvin Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ciy9sxefmcnwjw7ln3h2",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,6,8.0,0,1.0,1.0,50.0,4.0,0.0,-6.1952314376831055,0,0.1599999964237213,0.1875,0.2304147481918335,0.4425403177738189,0.0,-1.2000000476837158,0.800000011920929
162,00-0032464,K.Raymond,Kalif Raymond,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q2kahfn76dnnb1uxxorv",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,20.0,0,0.0,0.0,17.0,3.0,0.0,1.7662795782089231,0,1.1764706373214722,0.03125,0.0783410146832466,0.1017137095332145,0.0,2.0,3.0
198,00-0033106,J.Goff,Jared Goff,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nyitt4ybuzopzjzddafi",DET,2023,1,REG,KC,22,35,253.0,1,0.0,1.0,3.0,0,0,238.0,109.0,11.0,6.54375696182251,0,1.0630252361297607,0.095545656979084,5,-1.0,0,0.0,0.0,1.0,-4.4547529220581055,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.020000457763672,14.020000457763672
263,00-0033557,J.Reeves-Maybin,Jalen Reeves-Maybin,OLB,LB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/swx3jtmsagtr1tystl7x",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,1.0,2.528829336166382,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.3000000119209289,0.3000000119209289
318,00-0033943,J.Reynolds,Josh Reynolds,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sxrgouqg155xtgtzesy9",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,7,80.0,0,0.0,0.0,70.0,28.0,4.0,0.301434576511383,0,1.1428571939468384,0.21875,0.3225806355476379,0.553931474685669,0.0,8.0,12.0
572,00-0035685,D.Montgomery,David Montgomery,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/grd20lxzonco9jyg3ful",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,21,74.0,1,0.0,0.0,4.0,-2.021458864212036,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.399999618530272,13.399999618530272
796,00-0036754,B.Wright,Brock Wright,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fxgwaib8wrtxhsrudary",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,17.0,0,0.0,0.0,6.0,11.0,0.0,1.324068903923035,0,2.8333332538604736,0.0625,0.0276497695595026,0.113104835152626,0.0,1.7000000476837158,3.700000047683716
860,00-0036963,A.St. Brown,Amon-Ra St. Brown,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ubbam2rpn7xfbhvzvjyn",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,9,71.0,1,0.0,0.0,60.0,20.0,4.0,5.6073150634765625,0,1.1833332777023315,0.28125,0.2764976918697357,0.6154233813285828,0.0,13.100000381469728,19.100000381469727
1245,00-0039065,S.LaPorta,Sam LaPorta,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/svqsmqhfemrnxcheh0ev",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,5,39.0,0,0.0,0.0,20.0,19.0,2.0,1.7410048246383667,0,1.950000047683716,0.15625,0.0921659022569656,0.2988911271095276,0.0,3.900000095367432,8.899999618530273
1259,00-0039139,J.Gibbs,Jahmyr Gibbs,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zv22khikt05uc5fzzby9",DET,2023,1,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,7,42.0,0,0.0,0.0,2.0,0.3107971549034118,0,2,2,18.0,0,0.0,0.0,-6.0,24.0,1.0,1.5094698667526243,0,-3.0,0.0625,-0.0276497695595026,0.0743951648473739,0.0,6.0,8.0
265,00-0033572,J.Agnew,Jamal Agnew,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/at0skjo9xsjgobkvqqz5",JAX,2023,2,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,5.0,0,0.0,0.0,5.0,0.0,1.0,1.2426519393920898,0,1.0,0.0243902429938316,0.0193050187081098,0.0500988811254501,0.0,0.5,1.5
288,00-0033881,E.Engram,Evan Engram,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/adr65rbw956sxntlph8a",JAX,2023,2,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,8,57.0,0,0.0,0.0,28.0,54.0,4.0,3.043019771575928,0,2.0357143878936768,0.195121943950653,0.1081081107258796,0.3683586120605469,0.0,5.699999809265137,11.699999809265137
296,00-0033891,Z.Jones,Zay Jones,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pbmcmjxxjcrandbjmey7",JAX,2023,2,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,6,0.0,0,0.0,0.0,84.0,0.0,0.0,-5.634027004241943,0,0.0,0.1463414579629898,0.3243243098258972,0.4465392231941223,0.0,0.0,0.0
413,00-0034775,C.Kirk,Christian Kirk,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ersmmtjmjlpsy9lmjvde",JAX,2023,2,REG,KC,1,1,-1.0,0,0.0,0.0,-0.0,0,0,-1.0,0.0,0.0,-1.2398806810379028,0,0.0,,0,0.0,0,0.0,0.0,0.0,,0,11,14,110.0,0,0.0,0.0,77.0,48.0,6.0,1.2403241395950315,0,1.4285714626312256,0.3414634168148041,0.2972972989082336,0.7203032374382019,0.0,10.960000038146973,21.959999084472656
443,00-0034837,C.Ridley,Calvin Ridley,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jnknuowszoqaywqoopy7",JAX,2023,2,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,8,32.0,0,0.0,0.0,64.0,3.0,2.0,-4.80037784576416,0,0.5,0.195121943950653,0.2471042424440384,0.4656558930873871,0.0,3.200000047683716,5.199999809265137
538,00-0035628,D.Johnson,D'Ernest Johnson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zq7xfjee4nyktfky1ofe",JAX,2023,2,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,8.0,0,0.0,0.0,0.0,0.507884681224823,0,1,1,9.0,0,0.0,0.0,5.0,4.0,1.0,0.8767964839935303,0,1.7999999523162842,0.0243902429938316,0.0193050187081098,0.0500988811254501,0.0,1.7000000476837158,2.700000047683716
455,00-0034857,J.Allen,Josh Allen,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ghmmndgjefpxziks7ntf",BUF,2023,2,REG,LV,31,37,274.0,3,0.0,2.0,7.0,0,0,171.0,153.0,17.0,13.217607498168944,0,1.6023391485214231,0.2792316675186157,3,7.0,0,0.0,0.0,2.0,3.734975576400757,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,23.65999984741211,23.65999984741211
869,00-0036971,T.Lawrence,Trevor Lawrence,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/angjglqlgj2txh25se5j",JAX,2023,2,REG,KC,22,41,216.0,0,0.0,4.0,18.0,1,0,274.0,109.0,14.0,-12.625911712646484,0,0.7883211970329285,-0.0418821945786476,5,26.0,0,1.0,1.0,1.0,-6.257801055908203,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.239999771118164,9.239999771118164
877,00-0036973,T.Etienne,Travis Etienne,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ne5lyv8n6elqw77yrz9w",JAX,2023,2,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,12,40.0,0,0.0,0.0,0.0,-1.8363761901855469,0,2,3,2.0,0,0.0,0.0,-4.0,0.0,0.0,-2.2353515625,0,-0.5,0.0731707289814949,-0.0154440151527524,0.0989452898502349,0.0,4.199999809265137,6.199999809265137
431,00-0034827,D.Moore,D.J. Moore,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fuhd1intilojmnbx7wjq",CHI,2023,3,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,6,41.0,1,0.0,0.0,134.0,10.0,2.0,3.0335867404937744,0,0.305970162153244,0.3000000119209289,0.4336569607257843,0.7535598874092102,0.0,10.100000381469728,13.100000381469728
679,00-0036290,C.Kmet,Cole Kmet,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ruq1ttpmssyydj0hxwfn",CHI,2023,3,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,22.0,0,0.0,0.0,13.0,9.0,2.0,1.779377818107605,0,1.692307710647583,0.1000000014901161,0.04207119718194,0.1794498413801193,0.0,2.200000047683716,4.199999809265137
683,00-0036309,D.Mooney,Darnell Mooney,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hjileqykzauyoeqovatm",CHI,2023,3,REG,KC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,26.0,0.0,0.0,-2.8437516689300537,0,0.0,0.050000000745058,0.0841423943638801,0.1338996738195419,0.0,0.0,0.0
