,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
126,00-0031687,R.Mostert,Raheem Mostert,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jt7n28bmkyobsxmdbvqu",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,10,37.0,1,0.0,0.0,3.0,-0.3588860034942627,0,2,2,13.0,0,0.0,0.0,1.0,12.0,0.0,-0.1676438450813293,0,13.0,0.0454545468091964,0.0020000000949949,0.0695818215608596,0.0,11.0,13.0
182,00-0033040,T.Hill,Tyreek Hill,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lsszbdnkusxc7mduw5be",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,11,15,215.0,2,0.0,0.0,227.0,52.0,9.0,14.675944328308104,0,0.9471365809440612,0.3409090936183929,0.4539999961853027,0.8291636109352112,0.0,33.5,44.5
327,00-0034054,R.Cracraft,River Cracraft,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zd4y2ok3owqbqx6bvkpm",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,40.0,1,0.0,0.0,45.0,14.0,3.0,2.9125730991363525,0,0.8888888955116272,0.1136363670229911,0.0900000035762786,0.2334545403718948,0.0,10.0,13.0
383,00-0034419,B.Berrios,Braxton Berrios,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nypqf5vnhegeorkpmplr",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,42.0,0,0.0,0.0,86.0,1.0,3.0,3.209202289581299,0,0.4883720874786377,0.1136363670229911,0.1720000058412552,0.2908545434474945,0.0,4.199999809265137,7.199999809265137
425,00-0034798,D.Smythe,Durham Smythe,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bymp1mbuhxq4vbrwnof7",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,7,44.0,0,0.0,0.0,59.0,23.0,3.0,1.859858989715576,0,0.7457627058029175,0.159090906381607,0.1180000007152557,0.3212363719940185,0.0,4.400000095367432,7.400000095367432
483,00-0035125,A.Ingold,Alec Ingold,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oxtyl1jrhudt3minnb83",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,34.0,0,0.0,0.0,12.0,22.0,2.0,2.992199182510376,0,2.8333332538604736,0.0454545468091964,0.0240000002086162,0.0849818214774131,0.0,3.400000095367432,5.400000095367432
606,00-0036020,S.Ahmed,Salvon Ahmed,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ggkz2vamnepagqfn992j",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,11.0,0,0.0,0.0,0.0,-0.4427944123744964,0,0,3,0.0,0,0.0,0.0,0.0,0.0,0.0,-1.8223724365234373,0,,0.0681818202137947,0.0,0.1022727265954017,0.0,1.100000023841858,1.100000023841858
630,00-0036212,T.Tagovailoa,Tua Tagovailoa,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dyrrl1knhcxqjwuvhcwm",MIA,2023,1,REG,LAC,28,45,466.0,3,1.0,0.0,-0.0,0,0,495.0,162.0,23.0,27.078330993652344,0,0.9414141178131104,0.2166651487350464,5,5.0,0,2.0,1.0,1.0,-9.937740325927734,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,27.13999938964844,27.13999938964844
779,00-0036613,J.Waddle,Jaylen Waddle,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qjsz2h6shbdnksctzeka",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,5,78.0,0,0.0,0.0,70.0,38.0,3.0,3.8550424575805664,0,1.1142857074737549,0.1136363670229911,0.1400000005960464,0.2684545516967773,0.0,7.800000190734863,11.800000190734863
1072,00-0038092,E.Ezukanma,Erik Ezukanma,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zestfznyaky8z17chozb",MIA,2023,1,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,17.0,0,0.0,0.0,1.0,0.4094000160694122,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.7000000476837158,1.7000000476837158
27,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,2,REG,LAC,20,24,246.0,1,0.0,5.0,46.0,0,0,211.0,63.0,9.0,1.4567641019821167,0,1.1658767461776731,0.2246269583702087,1,12.0,1,0.0,0.0,1.0,1.7393412590026855,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.040000915527344,21.040000915527344
60,00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kikfprn4t5ap1lju4a4k",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,5,40.0,0,0.0,0.0,44.0,4.0,3.0,3.644114017486572,0,0.9090909361839294,0.2083333283662796,0.2085307985544204,0.4584715664386749,0.0,4.0,8.0
159,00-0032398,C.Moore,Chris Moore,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tov68mj1pddkbfsfuajn",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,49.0,0,0.0,0.0,49.0,0.0,1.0,3.2916336059570312,0,1.0,0.0416666679084301,0.2322274893522262,0.2250592410564422,0.0,4.900000095367432,5.900000095367432
169,00-0032764,D.Henry,Derrick Henry,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpewyoieoj7zeub4fvff",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,25,80.0,1,0.0,0.0,5.0,-3.9848809242248535,0,3,4,15.0,0,0.0,0.0,-14.0,21.0,0.0,-0.2253994345664978,0,-1.0714285373687744,0.1666666716337204,-0.0663507133722305,0.2035544961690902,0.0,15.5,18.5
511,00-0035259,T.Wesco,Trevon Wesco,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ptq3iidy6uyg3f31gjl5",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-0.848344624042511,0,0.0,0.0416666679084301,0.0189573466777801,0.0757701396942138,0.0,0.0,0.0
623,00-0036182,N.Westbrook-Ikhine,Nick Westbrook-Ikhine,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/orgr5wnkiabp4s03aqj3",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,25.0,1,0.0,0.0,23.0,2.0,2.0,3.676745176315308,0,1.08695650100708,0.125,0.1090047359466552,0.2638033032417297,0.0,8.5,11.5
1017,00-0037742,T.Burks,Treylon Burks,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rhs1fkmzghadzfpd243u",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,76.0,0,0.0,0.0,85.0,15.0,1.0,3.1625430583953857,0,0.8941176533699036,0.1666666716337204,0.4028435945510864,0.5319905281066895,0.0,7.599999904632568,10.600000381469728
1035,00-0037809,C.Okonkwo,Chigoziem Okonkwo,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hkqd6pubp52djhxhtyqi",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,4,35.0,0,0.0,0.0,16.0,19.0,2.0,1.11052405834198,0,2.1875,0.1666666716337204,0.0758293867111206,0.3030805587768554,0.0,3.5,7.5
1228,00-0039032,T.Spears,Tyjae Spears,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eeh5mowhlf3godvrceym",TEN,2023,2,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,49.0,0,0.0,0.0,4.0,1.4590904712677002,0,2,2,6.0,0,0.0,0.0,4.0,2.0,0.0,-0.6398822069168091,0,1.5,0.0833333358168602,0.0189573466777801,0.1382701396942138,0.0,5.5,7.5
23,00-0029604,K.Cousins,Kirk Cousins,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/viuxnyezrwdfjnxsfssb",MIN,2023,3,REG,LAC,32,50,367.0,3,1.0,4.0,22.0,0,0,397.0,149.0,15.0,1.42024028301239,0,0.9244332313537598,0.0951682180166244,1,10.0,0,0.0,0.0,0.0,2.6894993782043457,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.68000030517578,25.68000030517578
177,00-0032918,C.Ham,C.J. Ham,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oyy0xpxazac9lbt7z8zm",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,7.0,0,0.0,0.0,3.0,4.0,1.0,0.2752058207988739,0,2.3333332538604736,0.020833333954215,0.0077922078780829,0.0367045439779758,0.0,0.699999988079071,1.7000000476837158
401,00-0034646,B.Powell,Brandon Powell,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cqtogvopabvi3gcuaosi",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,5.0,0,0.0,0.0,5.0,0.0,0.0,0.1012166291475296,0,1.0,0.020833333954215,0.0129870129749178,0.0403409078717231,0.0,0.5,1.5
471,00-0034972,A.Mattison,Alexander Mattison,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kn3cwf59lqoyauoqmghm",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,20,93.0,0,0.0,0.0,6.0,0.4516941905021667,0,5,7,32.0,0,0.0,0.0,5.0,28.0,0.0,1.0736083984375,0,6.400000095367432,0.1458333283662796,0.0129870129749178,0.2278409153223037,0.0,12.5,17.5
498,00-0035229,T.Hockenson,T.J. Hockenson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/exbnbnkgkhp9tlt10wig",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,11,78.0,0,1.0,1.0,87.0,21.0,3.0,-7.3490400314331055,0,0.8965517282485962,0.2291666716337204,0.2259740233421325,0.5019318461418152,0.0,5.800000190734863,13.800000190734863
506,00-0035249,J.Oliver,Josh Oliver,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwd3muzyjclgjlwwtdah",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,4.0,1,0.0,0.0,4.0,0.0,1.0,0.819777250289917,0,1.0,0.0416666679084301,0.0103896101936697,0.0697727277874946,0.0,6.400000095367432,8.399999618530273
688,00-0036322,J.Jefferson,Justin Jefferson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zdstmm4sloqnichybgja",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,13,149.0,1,0.0,0.0,162.0,65.0,6.0,2.3922009468078613,0,0.919753074645996,0.2708333432674408,0.4207792282104492,0.7007954716682434,0.0,20.899999618530277,27.899999618530277
707,00-0036345,K.Osborn,K.J. Osborn,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rbgsvh08nmm29gaiw7pr",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,3,36.0,1,0.0,0.0,38.0,22.0,1.0,4.562935829162598,0,0.9473684430122375,0.0625,0.0987012982368469,0.1628409028053283,0.0,9.600000381469728,10.600000381469728
964,00-0037276,T.Chandler,Ty Chandler,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/map979dvuonzb8a6g13b",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,27.0,0,0.0,0.0,1.0,1.3453058004379272,0,1,2,4.0,0,0.0,0.0,7.0,2.0,0.0,-0.7551544904708862,0,0.5714285969734192,0.0416666679084301,0.0181818176060915,0.0752272754907608,0.0,3.0999999046325684,4.099999904632568
1215,00-0038994,J.Addison,Jordan Addison,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zhyhkz6wzwhioemhqgbk",MIN,2023,3,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,8,52.0,0,0.0,0.0,74.0,7.0,3.0,3.725862979888916,0,0.7027027010917664,0.1666666716337204,0.1922077983617782,0.3845454454421997,0.0,5.199999809265137,11.199999809265137
91,00-0031381,D.Adams,Davante Adams,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/grvqvmdzu2lsbgvqoxku",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,13,75.0,0,0.0,0.0,148.0,14.0,5.0,7.694381237030029,0,0.5067567825317383,0.3421052694320678,0.5873016119003296,0.9242690205574036,0.0,7.5,15.5
138,00-0032104,A.Abdullah,Ameer Abdullah,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cvjebibvlvv8bclqyc8a",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,14.0,0,0.0,0.0,7.0,7.0,1.0,0.3154476583003998,0,2.0,0.0526315793395042,0.0277777779847383,0.0983918160200119,0.0,1.399999976158142,3.400000095367432
157,00-0032392,A.Hooper,Austin Hooper,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jp2z8s6pcanbitupycwc",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,11.0,0,0.0,0.0,6.0,7.0,0.0,-0.1136842221021652,0,1.8333333730697632,0.0526315793395042,0.0238095242530107,0.0956140384078025,0.0,1.100000023841858,2.0999999046325684
466,00-0034960,J.Meyers,Jakobi Meyers,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lhfd2xsufgep72sfkacg",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,33.0,0,0.0,0.0,40.0,9.0,1.0,-5.668200492858887,0,0.824999988079071,0.1052631586790084,0.1587301641702652,0.2690058350563049,0.0,3.299999952316284,5.300000190734863
479,00-0034983,H.Renfrow,Hunter Renfrow,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/coqn2jxhmjhaut34aqiv",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,12.0,0,0.0,0.0,35.0,5.0,1.0,0.183593213558197,0,0.342857152223587,0.1052631586790084,0.1388888955116272,0.2551169693470001,0.0,1.2000000476837158,3.200000047683716
583,00-0035700,J.Jacobs,Josh Jacobs,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sagoqkubeaz5yht01ow7",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,17,58.0,1,0.0,0.0,4.0,0.5883718729019165,0,8,11,81.0,0,0.0,0.0,10.0,82.0,4.0,4.958528995513916,0,8.100000381469727,0.289473682641983,0.0396825410425663,0.4619883000850677,0.0,19.899999618530277,27.899999618530277
594,00-0035726,J.Johnson,Jakob Johnson,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wkfev7wnnwphmdemhysa",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,12.0,0,0.0,0.0,6.0,10.0,0.0,1.0337013006210327,0,2.0,0.0526315793395042,0.0238095242530107,0.0956140384078025,0.0,1.2000000476837158,2.200000047683716
1059,00-0038040,Z.White,Zamir White,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a8vpgphydjltkrr531vd",LV,2023,4,REG,LAC,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,15.0,0,0.0,0.0,1.0,0.099190317094326,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.5,1.5
1148,00-0038579,A.O'Connell,Aidan O'Connell,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n21t86lqmpiki9vbix3q",LV,2023,4,REG,LAC,24,39,238.0,0,1.0,7.0,50.0,3,2,255.0,134.0,12.0,-11.76560401916504,0,0.9333333373069764,-0.0204129572957754,3,3.0,1,0.0,0.0,2.0,-0.4384548664093017,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,9.81999969482422,9.81999969482422
