,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
361,00-0034351,D.Goedert,Dallas Goedert,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/flzasty1ea7iswbtd0e5",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,15.0,0.0,0.0,-0.868076503276825,0,0.0,0.0333333350718021,0.0515463910996913,0.0860824733972549,0.0,0.0,0.0
380,00-0034414,B.Scott,Boston Scott,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/uveeemr49kwtkfefugai",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.7314741611480713,0,1,1,7.0,0,0.0,0.0,3.0,4.0,0.0,-0.1454704999923706,0,2.3333332538604736,0.0333333350718021,0.0103092780336737,0.0572164952754974,0.0,1.0,2.0
568,00-0035676,A.Brown,A.J. Brown,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a014sgzctarbvhwb35lw",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,10,79.0,0,0.0,0.0,171.0,13.0,4.0,1.2331640720367432,0,0.4619883000850677,0.3333333432674408,0.5876288414001465,0.9113401770591736,0.0,7.900000095367432,14.899999618530272
671,00-0036271,Q.Watkins,Quez Watkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lmulzdtlnoaldqrb2kit",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,17.0,0,0.0,0.0,3.0,14.0,1.0,1.844946384429932,0,5.666666507720947,0.0666666701436042,0.0103092780336737,0.1072164922952652,0.0,1.7000000476837158,3.700000047683716
672,00-0036275,D.Swift,D'Andre Swift,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qehlr75ike82kyxy8j9a",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.4363805949687958,0,1,2,0.0,0,0.0,0.0,0.0,4.0,0.0,-1.3272243738174438,0,,0.0666666701436042,0.0,0.1000000014901161,0.0,0.3000000119209289,1.2999999523162842
726,00-0036389,J.Hurts,Jalen Hurts,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/aityegmlyh53aifbssbp",PHI,2023,1,REG,NE,22,33,170.0,1,0.0,3.0,16.0,0,0,332.0,64.0,8.0,-4.859522342681885,0,0.5120481848716736,0.0686972290277481,9,37.0,0,1.0,1.0,2.0,-2.243887186050415,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.5,12.5
833,00-0036912,D.Smith,DeVonta Smith,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/f8nowzare3wd2qw4jx7d",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,10,47.0,1,0.0,0.0,100.0,8.0,3.0,-0.6798296570777893,0,0.4699999988079071,0.3333333432674408,0.3436426222324371,0.7405498027801514,0.0,10.699999809265137,17.700000762939453
841,00-0036919,K.Gainwell,Kenneth Gainwell,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/epkyjvftedewa9leunos",PHI,2023,1,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,54.0,0,0.0,0.0,4.0,-0.6743863224983215,0,4,4,20.0,0,0.0,0.0,-1.0,21.0,0.0,0.4811064898967743,0,-20.0,0.1333333402872085,-0.003436426166445,0.1975945085287094,0.0,7.400000095367432,11.399999618530272
127,00-0031687,R.Mostert,Raheem Mostert,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/jt7n28bmkyobsxmdbvqu",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,121.0,2,0.0,0.0,5.0,5.438919544219971,0,1,1,6.0,0,0.0,0.0,-4.0,10.0,0.0,0.2681982815265655,0,-1.5,0.0344827584922313,-0.0148148145526647,0.041353765875101,0.0,24.700000762939453,25.700000762939453
183,00-0033040,T.Hill,Tyreek Hill,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lsszbdnkusxc7mduw5be",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,9,40.0,1,0.0,0.0,127.0,10.0,5.0,1.5758321285247805,0,0.31496062874794,0.3103448152542114,0.4703703820705414,0.7947764992713928,0.0,10.0,15.0
328,00-0034054,R.Cracraft,River Cracraft,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zd4y2ok3owqbqx6bvkpm",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,34.0,0,0.0,0.0,20.0,14.0,2.0,1.9390218257904053,0,1.7000000476837158,0.0689655169844627,0.0740740746259689,0.1553001254796981,0.0,3.400000095367432,5.400000095367432
384,00-0034419,B.Berrios,Braxton Berrios,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nypqf5vnhegeorkpmplr",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,28.0,0,0.0,0.0,31.0,9.0,2.0,2.627349853515625,0,0.9032257795333862,0.1034482792019844,0.114814817905426,0.2355427891016006,0.0,2.799999952316284,4.800000190734863
426,00-0034798,D.Smythe,Durham Smythe,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bymp1mbuhxq4vbrwnof7",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,23.0,0,0.0,0.0,19.0,4.0,1.0,1.5941946506500244,0,1.2105263471603394,0.1034482792019844,0.0703703686594963,0.2044316679239273,0.0,2.299999952316284,5.300000190734863
607,00-0036020,S.Ahmed,Salvon Ahmed,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ggkz2vamnepagqfn992j",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,13.0,0,0.0,0.0,1.0,0.1643994897603988,0,3,3,28.0,0,0.0,0.0,-6.0,34.0,1.0,1.8305740356445312,0,-4.666666507720947,0.1034482792019844,-0.0222222227603197,0.1396168619394302,0.0,4.099999904632568,7.099999904632568
631,00-0036212,T.Tagovailoa,Tua Tagovailoa,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dyrrl1knhcxqjwuvhcwm",MIA,2023,2,REG,NE,21,30,249.0,1,1.0,1.0,5.0,0,0,269.0,129.0,15.0,11.266563415527344,0,0.9256505370140076,0.1956105083227157,4,3.0,0,2.0,0.0,0.0,-2.374474287033081,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,12.260000228881836,12.260000228881836
780,00-0036613,J.Waddle,Jaylen Waddle,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qjsz2h6shbdnksctzeka",MIA,2023,2,REG,NE,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-2.0,0,0.0,0.0,0.0,-0.8675527572631836,0,4,6,86.0,0,0.0,0.0,72.0,47.0,4.0,6.027984142303467,0,1.1944444179534912,0.2068965584039688,0.2666666805744171,0.4970114827156067,0.0,8.399999618530273,12.399999618530272
