,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
26,00-0029701,R.Tannehill,Ryan Tannehill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yvwju12dl6haf3r8uzrm",TEN,2023,1,REG,NO,16,34,198.0,0,3.0,3.0,17.0,0,0,310.0,124.0,8.0,-12.042962074279783,0,0.6387096643447876,-0.0783884078264236,3,5.0,0,0.0,0.0,0.0,-1.8367608785629272,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.4200000762939453,2.4200000762939453
59,00-0030564,D.Hopkins,DeAndre Hopkins,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kikfprn4t5ap1lju4a4k",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,13,65.0,0,0.0,0.0,130.0,5.0,3.0,-4.983140468597412,0,0.5,0.3939394056797027,0.4377104341983795,0.8973063826560974,0.0,6.5,13.5
158,00-0032398,C.Moore,Chris Moore,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tov68mj1pddkbfsfuajn",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,46.0,0.0,0.0,-3.5468928813934326,0,0.0,0.0303030312061309,0.1548821479082107,0.1538720577955246,0.0,0.0,0.0
168,00-0032764,D.Henry,Derrick Henry,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xpewyoieoj7zeub4fvff",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,63.0,0,0.0,0.0,4.0,-1.3536219596862793,0,2,3,56.0,0,0.0,0.0,-17.0,66.0,1.0,2.548351287841797,0,-3.2941176891326904,0.0909090936183929,-0.0572390556335449,0.0962962955236435,0.0,11.899999618530272,13.899999618530272
622,00-0036182,N.Westbrook-Ikhine,Nick Westbrook-Ikhine,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/orgr5wnkiabp4s03aqj3",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,7,58.0,0,0.0,0.0,35.0,46.0,3.0,1.273268222808838,0,1.6571428775787354,0.2121212184429168,0.1178451180458068,0.4006733894348144,0.0,5.800000190734863,9.800000190734863
1016,00-0037742,T.Burks,Treylon Burks,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rhs1fkmzghadzfpd243u",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,9.0,0,0.0,0.0,0.0,0.9456503987312316,0,2,3,18.0,0,0.0,0.0,24.0,6.0,1.0,-0.1296452581882476,0,0.75,0.0909090936183929,0.0808080807328224,0.1929292976856231,0.0,2.700000047683716,4.699999809265137
1034,00-0037809,C.Okonkwo,Chigoziem Okonkwo,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hkqd6pubp52djhxhtyqi",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,2,0.0,0,0.0,0.0,34.0,0.0,0.0,-1.0170634984970093,0,0.0,0.0606060624122619,0.1144781112670898,0.1710437685251236,0.0,0.0,0.0
1227,00-0039032,T.Spears,Tyjae Spears,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eeh5mowhlf3godvrceym",TEN,2023,1,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,27.0,0,0.0,0.0,1.0,1.1577333211898804,0,1,4,1.0,0,0.0,0.0,45.0,1.0,0.0,-2.3890199661254883,0,0.0222222227603197,0.1212121248245239,0.1515151560306549,0.2878787815570831,0.0,2.799999952316284,3.799999952316284
33,00-0030035,A.Thielen,Adam Thielen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kmldtl8p9h7h5dzvkwsw",CAR,2023,2,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,9,54.0,1,0.0,0.0,59.0,24.0,4.0,2.1747405529022217,1,0.9152542352676392,0.2903225719928741,0.2796208560466766,0.6312184929847717,0.0,13.399999618530272,20.399999618530277
416,00-0034777,D.Chark,D.J. Chark,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bn5lxiv1cyyidlhkth84",CAR,2023,2,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,15.0,0,0.0,0.0,10.0,5.0,1.0,0.885791003704071,0,1.5,0.0322580635547637,0.0473933666944503,0.0815624520182609,0.0,1.5,2.5
439,00-0034830,H.Hurst,Hayden Hurst,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/evevkgcgy0suudtprryp",CAR,2023,2,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,20.0,0,0.0,0.0,13.0,7.0,0.0,1.0747661590576172,0,1.5384615659713743,0.0967741906642913,0.0616113729774951,0.1882892549037933,0.0,2.0,5.0
501,00-0035243,M.Sanders,Miles Sanders,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vzctez3oxwdttiyukq18",CAR,2023,2,REG,NO,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,43.0,0,0.0,0.0,2.0,-2.225791931152344,0,3,5,4.0,0,0.0,0.0,19.0,12.0,0.0,-2.534250020980835,0,0.2105263173580169,0.1612903177738189,0.0900473967194557,0.3049686551094055,0.0,4.699999809265137,7.699999809265137
422,00-0034796,L.Jackson,Lamar Jackson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wj1fwvvkjaqztm56ybzu",BAL,2023,2,REG,CIN,24,33,237.0,2,0.0,0.0,-0.0,0,0,300.0,78.0,12.0,12.39285373687744,0,0.7900000214576721,0.1721002608537674,12,54.0,0,0.0,0.0,3.0,-1.2977396249771118,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.8799991607666,22.8799991607666
