,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
62,00-0032918,C.Ham,C.J. Ham,FB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a23fezyvrzsse3q8yuxi",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,11.0,0,1.0,1.0,5.0,6.0,0.0,-3.2334194,0,2.2,0.08695652,0.028089888,0.1500977,0.0,-0.9,1.1
62,00-0032918,C.Ham,C.J. Ham,FB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a23fezyvrzsse3q8yuxi",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,11.0,0,1.0,1.0,5.0,6.0,0.0,-3.2334194,0,2.2,0.08695652,0.028089888,0.1500977,0.0,-0.9,1.1
62,00-0032918,C.Ham,C.J. Ham,FB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/a23fezyvrzsse3q8yuxi",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,11.0,0,1.0,1.0,5.0,6.0,0.0,-3.2334194,0,2.2,0.08695652,0.028089888,0.1500977,0.0,-0.9,1.1
79,00-0033246,J.Mundt,Johnny Mundt,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ievumbznrtys9b2esphz",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,15.0,0,0.0,0.0,13.0,5.0,0.0,2.4391503,0,1.1538461,0.13043478,0.073033705,0.24677578,0.0,1.5,3.5
79,00-0033246,J.Mundt,Johnny Mundt,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ievumbznrtys9b2esphz",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,15.0,0,0.0,0.0,13.0,5.0,0.0,2.4391503,0,1.1538461,0.13043478,0.073033705,0.24677578,0.0,1.5,3.5
79,00-0033246,J.Mundt,Johnny Mundt,TE,TE,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ievumbznrtys9b2esphz",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,3,15.0,0,0.0,0.0,13.0,5.0,0.0,2.4391503,0,1.1538461,0.13043478,0.073033705,0.24677578,0.0,1.5,3.5
85,00-0033293,A.Jones,Aaron Jones,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,94.0,1,0.0,0.0,6.0,4.944571,0,2,2,15.0,0,0.0,0.0,6.0,9.0,0.0,0.29790002,0,2.5,0.08695652,0.033707865,0.1540303,0.0,16.9,18.9
85,00-0033293,A.Jones,Aaron Jones,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,94.0,1,0.0,0.0,6.0,4.944571,0,2,2,15.0,0,0.0,0.0,6.0,9.0,0.0,0.29790002,0,2.5,0.08695652,0.033707865,0.1540303,0.0,16.9,18.9
85,00-0033293,A.Jones,Aaron Jones,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bktkfvgfwujkdbzkcfim",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,94.0,1,0.0,0.0,6.0,4.944571,0,2,2,15.0,0,0.0,0.0,6.0,9.0,0.0,0.29790002,0,2.5,0.08695652,0.033707865,0.1540303,0.0,16.9,18.9
187,00-0034869,S.Darnold,Sam Darnold,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/agjgfwk9jk9ufoac2vpd",MIN,2024,1,REG,NYG,19,24,208.0,2,1.0,1.0,7.0,0,0,195.0,68.0,8.0,9.554716,0,1.0666667,0.28074366,3,3.0,0,0.0,0.0,1.0,-0.1882951,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.62,14.62
187,00-0034869,S.Darnold,Sam Darnold,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/agjgfwk9jk9ufoac2vpd",MIN,2024,1,REG,NYG,19,24,208.0,2,1.0,1.0,7.0,0,0,195.0,68.0,8.0,9.554716,0,1.0666667,0.28074366,3,3.0,0,0.0,0.0,1.0,-0.1882951,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.62,14.62
187,00-0034869,S.Darnold,Sam Darnold,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/agjgfwk9jk9ufoac2vpd",MIN,2024,1,REG,NYG,19,24,208.0,2,1.0,1.0,7.0,0,0,195.0,68.0,8.0,9.554716,0,1.0666667,0.28074366,3,3.0,0,0.0,0.0,1.0,-0.1882951,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.62,14.62
209,00-0035249,J.Oliver,Josh Oliver,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwd3muzyjclgjlwwtdah",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,27.0,0,0.0,0.0,26.0,1.0,1.0,1.5066327,0,1.0384616,0.08695652,0.14606741,0.23268197,0.0,2.7,4.7
209,00-0035249,J.Oliver,Josh Oliver,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwd3muzyjclgjlwwtdah",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,27.0,0,0.0,0.0,26.0,1.0,1.0,1.5066327,0,1.0384616,0.08695652,0.14606741,0.23268197,0.0,2.7,4.7
209,00-0035249,J.Oliver,Josh Oliver,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pwd3muzyjclgjlwwtdah",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,27.0,0,0.0,0.0,26.0,1.0,1.0,1.5066327,0,1.0384616,0.08695652,0.14606741,0.23268197,0.0,2.7,4.7
216,00-0035311,M.Gaskin,Myles Gaskin,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dn5kacxm99pb95u8dle1",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-3.0,0,0.0,0.0,0.0,-1.1593964,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.3,-0.3
216,00-0035311,M.Gaskin,Myles Gaskin,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dn5kacxm99pb95u8dle1",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-3.0,0,0.0,0.0,0.0,-1.1593964,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.3,-0.3
216,00-0035311,M.Gaskin,Myles Gaskin,RB,RB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/dn5kacxm99pb95u8dle1",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,-3.0,0,0.0,0.0,0.0,-1.1593964,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.3,-0.3
280,00-0036322,J.Jefferson,Justin Jefferson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrftbpzwk6qmv0zjcysg",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,6,59.0,1,0.0,0.0,63.0,19.0,2.0,5.423481,0,0.93650794,0.26086956,0.3539326,0.63905716,0.0,11.9,15.9
280,00-0036322,J.Jefferson,Justin Jefferson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrftbpzwk6qmv0zjcysg",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,6,59.0,1,0.0,0.0,63.0,19.0,2.0,5.423481,0,0.93650794,0.26086956,0.3539326,0.63905716,0.0,11.9,15.9
280,00-0036322,J.Jefferson,Justin Jefferson,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/vrftbpzwk6qmv0zjcysg",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,6,59.0,1,0.0,0.0,63.0,19.0,2.0,5.423481,0,0.93650794,0.26086956,0.3539326,0.63905716,0.0,11.9,15.9
394,00-0037276,T.Chandler,Ty Chandler,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/map979dvuonzb8a6g13b",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,17.0,0,0.0,0.0,0.0,-2.7902763,0,3,3,25.0,0,0.0,0.0,-3.0,28.0,2.0,3.0200834,0,-8.333333,0.13043478,-0.016853932,0.18385442,0.0,4.2,7.2
394,00-0037276,T.Chandler,Ty Chandler,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/map979dvuonzb8a6g13b",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,17.0,0,0.0,0.0,0.0,-2.7902763,0,3,3,25.0,0,0.0,0.0,-3.0,28.0,2.0,3.0200834,0,-8.333333,0.13043478,-0.016853932,0.18385442,0.0,4.2,7.2
394,00-0037276,T.Chandler,Ty Chandler,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/map979dvuonzb8a6g13b",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,8,17.0,0,0.0,0.0,0.0,-2.7902763,0,3,3,25.0,0,0.0,0.0,-3.0,28.0,2.0,3.0200834,0,-8.333333,0.13043478,-0.016853932,0.18385442,0.0,4.2,7.2
396,00-0037291,J.Nailor,Jalen Nailor,WR,WR,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fe9b3l4fz6n02gbr5zbt",MIN,2024,1,REG,NYG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,21.0,1,0.0,0.0,21.0,0.0,1.0,2.4270484,0,1.0,0.04347826,0.11797753,0.14780167,0.0,8.1,9.1
