,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
55,00-0030513,L.Murray,Latavius Murray,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zepm7ghltyeqydn0qxcg",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,8.0,0,0.0,0.0,0.0,-0.0306567903608083,0,1,2,9.0,0,0.0,0.0,4.0,8.0,1.0,2.017519950866699,0,2.25,0.0512820519506931,0.0126582281664013,0.085783839225769,0.0,1.7000000476837158,2.700000047683716
116,00-0031588,S.Diggs,Stefon Diggs,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zf6nbnzcfzu4y7yq2nzk",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,10,13,102.0,1,0.0,0.0,135.0,28.0,6.0,3.723079919815064,0,0.7555555701255798,0.3333333432674408,0.4272151887416839,0.7990506291389465,0.0,16.200000762939453,26.200000762939453
454,00-0034857,J.Allen,Josh Allen,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ghmmndgjefpxziks7ntf",BUF,2023,1,REG,NYJ,29,41,236.0,1,3.0,5.0,19.0,0,0,338.0,132.0,11.0,-1.409397006034851,0,0.6982248425483704,0.0723003447055816,6,36.0,0,1.0,0.0,3.0,-1.3393285274505615,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.039999961853027,11.039999961853027
491,00-0035215,D.Harty,Deonte Harty,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h72iki8fggkee1n2jpg6",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,4.0,0,0.0,0.0,0.0,-0.163308709859848,0,3,4,9.0,0,0.0,0.0,49.0,25.0,1.0,-0.5214514136314392,0,0.183673471212387,0.1025641039013862,0.1550632864236831,0.2623904645442962,0.0,1.2999999523162842,4.300000190734863
555,00-0035657,D.Harris,Damien Harris,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/s0cagglk6qh9ciuddjmu",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.480614960193634,0,2,2,16.0,0,0.0,0.0,0.0,16.0,0.0,0.5349583029747009,0,0.0,0.0512820519506931,0.0,0.0769230797886848,0.0,1.899999976158142,3.900000095367432
576,00-0035689,D.Knox,Dawson Knox,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/objioqafpfrffs0ublne",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,4,25.0,0,0.0,0.0,28.0,10.0,1.0,1.2140105962753296,0,0.8928571343421936,0.1025641039013862,0.0886075943708419,0.2158714681863784,0.0,2.5,5.5
626,00-0036196,G.Davis,Gabe Davis,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q5ofnb6w7gokbggfmbxp",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,32.0,0,0.0,0.0,70.0,8.0,2.0,-1.5008574724197388,0,0.4571428596973419,0.1025641039013862,0.2215189933776855,0.3089094460010528,0.0,3.200000047683716,5.199999809265137
936,00-0037248,J.Cook,James Cook,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/clqdllqqmpleidegprep",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,12,46.0,0,0.0,0.0,5.0,-1.1546591520309448,0,4,6,17.0,0,0.0,0.0,25.0,16.0,0.0,-1.9452438354492188,0,0.6800000071525574,0.1538461595773697,0.0791139230132103,0.2861489653587341,0.0,6.300000190734863,10.300000190734863
1190,00-0038933,D.Kincaid,Dalton Kincaid,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gc2do3ceqflw2axa6xii",BUF,2023,1,REG,NYJ,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,4,26.0,0,0.0,0.0,5.0,21.0,0.0,1.5788239240646362,0,5.199999809265137,0.1025641039013862,0.015822784975171,0.1649221032857895,0.0,2.5999999046325684,6.599999904632568
191,00-0033077,D.Prescott,Dak Prescott,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/knx0jxponzfkusnyvjkn",DAL,2023,2,REG,NYJ,31,38,255.0,2,0.0,1.0,7.0,0,0,166.0,161.0,16.0,10.077872276306152,0,1.5361446142196655,0.2527841031551361,6,14.0,0,0.0,0.0,2.0,-0.7806251645088196,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,19.600000381469727,19.600000381469727
