,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
144,00-0032200,T.Montgomery,Ty Montgomery,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eagn4fvhnc9cp3wxeqoz",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,7.0,0,0.0,0.0,0.0,0.3958870768547058,0,2,3,9.0,0,0.0,0.0,27.0,11.0,1.0,-0.5691500902175903,0,0.3333333432674408,0.0555555559694767,0.0669975206255912,0.1302315890789032,0.0,1.600000023841858,3.5999999046325684
186,00-0033045,E.Elliott,Ezekiel Elliott,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eazag7iwciy9ari8hoju",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,7,29.0,0,0.0,0.0,3.0,0.1507827341556549,0,5,7,14.0,0,1.0,1.0,-25.0,28.0,0.0,-10.636981964111328,0,-0.5600000023841858,0.1296296268701553,-0.0620347410440444,0.1510201245546341,0.0,2.299999952316284,7.300000190734863
194,00-0033090,H.Henry,Hunter Henry,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/sdjob9akppefyo7py5tj",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,6,56.0,1,0.0,0.0,62.0,7.0,5.0,6.92520809173584,0,0.9032257795333862,0.1111111119389534,0.1538461595773697,0.2743589878082275,0.0,11.600000381469728,16.600000381469727
228,00-0033307,K.Bourne,Kendrick Bourne,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vrovcaqql9p6xsycko83",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,11,64.0,2,0.0,0.0,129.0,22.0,3.0,-6.485100269317627,0,0.4961240291595459,0.2037037014961242,0.320099264383316,0.5296250581741333,0.0,18.399999618530277,24.399999618530277
275,00-0033857,J.Smith-Schuster,JuJu Smith-Schuster,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ypoituliieghtndjrzaz",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,7,33.0,0,0.0,0.0,36.0,21.0,1.0,-0.4725160598754883,0,0.9166666865348816,0.1296296268701553,0.0893300250172615,0.2569754719734192,0.0,3.299999952316284,7.300000190734863
434,00-0034829,M.Gesicki,Mike Gesicki,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mpichyoi6vdnhb7qte6c",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,36.0,0,0.0,0.0,12.0,24.0,3.0,3.699376106262207,0,3.0,0.0555555559694767,0.0297766756266355,0.1041770055890083,0.0,3.5999999046325684,6.599999904632568
806,00-0036875,R.Stevenson,Rhamondre Stevenson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ro2fqabc4qndtnxykvm7",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,12,25.0,0,0.0,0.0,1.0,-4.464520454406738,0,6,6,64.0,0,0.0,0.0,-5.0,69.0,3.0,3.2948365211486816,0,-12.800000190734863,0.1111111119389534,-0.0124069480225443,0.1579817980527877,0.0,8.899999618530273,14.899999618530272
872,00-0036972,M.Jones,Mac Jones,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fillvwo9xf7paiwbfihk",NE,2023,1,REG,PHI,35,54,316.0,3,1.0,2.0,10.0,0,0,403.0,190.0,18.0,-6.660893440246582,0,0.7841191291809082,0.0192881543189287,2,15.0,0,0.0,0.0,1.0,0.3564123809337616,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,24.13999938964844,24.13999938964844
1153,00-0038608,K.Boutte,Kayshon Boutte,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nz6t7jhx6erszovbv1bd",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,4,0.0,0,0.0,0.0,84.0,0.0,0.0,-4.741236209869385,0,0.0,0.0740740746259689,0.2084367275238037,0.2570168077945709,0.0,0.0,0.0
1157,00-0038621,D.Douglas,Demario Douglas,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/svnh61ottqtfmcqvnbj3",NE,2023,1,REG,PHI,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,7,40.0,0,0.0,0.0,83.0,8.0,2.0,-0.5449265241622925,0,0.4819277226924896,0.1296296268701553,0.2059553414583206,0.3386131823062897,0.0,4.0,8.0
