,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
2,00-0026498,M.Stafford,Matthew Stafford,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/icjfdfsncqlsqe49iujv",LA,2023,1,REG,SEA,24,38,334.0,0,0.0,0.0,-0.0,0,0,409.0,106.0,17.0,20.679981231689453,0,0.8166258931159973,0.2171900570392608,3,11.0,0,0.0,0.0,1.0,0.8680859208106995,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.460000038146973,14.460000038146973
202,00-0033110,T.Higbee,Tyler Higbee,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vk9c6lr4d1pdt9sr86ua",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,49.0,0,0.0,0.0,37.0,12.0,3.0,5.905362606048584,0,1.324324369430542,0.0810810774564743,0.08872901648283,0.1837319284677505,0.0,4.900000095367432,7.900000095367432
739,00-0036415,V.Jefferson,Van Jefferson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q9uxev1vu6s10sj5ywaf",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,4,5,24.0,0,0.0,0.0,57.0,4.0,1.0,2.2335400581359863,0,0.4210526347160339,0.1351351290941238,0.1366906464099884,0.2983861565589905,0.0,2.400000095367432,6.400000095367432
747,00-0036424,B.Hopkins,Brycen Hopkins,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/agzychtsya1dteoz1khu",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,21.0,0,0.0,0.0,11.0,11.0,1.0,0.7585307359695435,0,1.909090876579285,0.0540540553629398,0.026378896087408,0.099546305835247,0.0,2.0999999046325684,3.0999999046325684
797,00-0036849,T.Atwell,Tutu Atwell,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/h0kk3mtoa4xwdw21lty9",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,8,119.0,0,0.0,0.0,126.0,35.0,6.0,7.999610424041748,0,0.9444444179534912,0.2162162214517593,0.3021582663059234,0.5358350872993469,0.0,11.899999618530272,17.899999618530273
803,00-0036862,B.Skowronek,Ben Skowronek,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/og1iee9dsqaphhcnhajt",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,2,0.0,0,0.0,0.0,18.0,0.0,0.0,-1.7315078973770142,0,0.0,0.0540540553629398,0.0431654676795005,0.1112969070672988,0.0,0.0,0.0
1053,00-0037840,K.Williams,Kyren Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/emynpilqbr8huoh6vmhg",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,52.0,2,0.0,0.0,3.0,2.5230867862701416,0,0,2,2.0,0,0.0,0.0,24.0,2.0,0.0,-1.541508436203003,0,0.0833333358168602,0.0540540553629398,0.0575539581477642,0.1213688477873802,0.0,17.399999618530273,17.399999618530273
1255,00-0039075,P.Nacua,Puka Nacua,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/br1ovzclyrebrec6q0mp",LA,2023,1,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,10,15,119.0,0,0.0,0.0,144.0,42.0,6.0,7.584203720092773,0,0.8263888955116272,0.4054054021835327,0.3453237414360046,0.8498347401618958,0.0,11.899999618530272,21.899999618530277
163,00-0032464,K.Raymond,Kalif Raymond,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/q2kahfn76dnnb1uxxorv",DET,2023,2,REG,SEA,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,11.0,0,0.0,0.0,1.0,0.4300770163536072,0,2,3,46.0,1,0.0,0.0,53.0,15.0,2.0,4.221123695373535,0,0.8679245114326477,0.0882352963089943,0.1879432648420334,0.2639132142066955,0.0,11.699999809265137,13.699999809265137
199,00-0033106,J.Goff,Jared Goff,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/nyitt4ybuzopzjzddafi",DET,2023,2,REG,SEA,28,35,323.0,3,1.0,2.0,7.0,0,0,290.0,111.0,17.0,8.152201652526855,0,1.113793134689331,0.2338360995054245,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.920000076293945,22.920000076293945
