,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
77,00-0031280,D.Carr,Derek Carr,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cffbp9sqfioxa2jk2oqf",NO,2023,1,REG,TEN,23,33,305.0,1,1.0,4.0,23.0,0,0,378.0,103.0,12.0,3.67048454284668,0,0.8068783283233643,0.1311530321836471,3,4.0,0,0.0,0.0,0.0,-3.6662278175354,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,14.600000381469728,14.600000381469728
172,00-0032765,M.Thomas,Michael Thomas,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xtubqabso3s9fz5fouuj",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,5,8,61.0,0,0.0,0.0,78.0,3.0,2.0,1.4517546892166138,0,0.7820512652397156,0.2424242496490478,0.2063492089509964,0.508080780506134,0.0,6.099999904632568,11.100000381469728
236,00-0033357,T.Hill,Taysom Hill,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pjp1aahvacigoh0sorpg",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,3,4.0,0,0.0,0.0,0.0,-1.6607609987258911,0,0,1,0.0,0,0.0,0.0,14.0,0.0,0.0,-0.8548920750617981,0,0.0,0.0303030312061309,0.0370370373129844,0.0713804736733436,0.0,0.4000000059604645,0.4000000059604645
321,00-0033948,J.Williams,Jamaal Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qerbr9qnhpn27cyogu4x",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,18,45.0,0,1.0,0.0,2.0,-7.199461460113525,0,2,2,7.0,0,0.0,0.0,-5.0,12.0,0.0,-0.4944871068000793,0,-1.399999976158142,0.0606060624122619,-0.0132275130599737,0.0816498324275016,0.0,5.199999809265137,7.199999809265137
354,00-0034317,K.Kirkwood,Keith Kirkwood,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/iedau8bt7wngc8mxfd9h",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,19.0,0.0,0.0,-0.6743815541267395,0,0.0,0.0303030312061309,0.050264548510313,0.0806397274136543,0.0,0.0,0.0
598,00-0035860,T.Jones,Tony Jones,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cgvll8lokulmws98olfa",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,5.0,0,0.0,0.0,0.0,0.3169916868209839,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.5,0.5
608,00-0036040,J.Johnson,Juwan Johnson,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kew8v8rgrtbefvnxpl0a",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,36.0,0,0.0,0.0,45.0,19.0,1.0,-4.619527816772461,0,0.800000011920929,0.1515151560306549,0.1190476194024086,0.3106060624122619,0.0,3.5999999046325684,6.599999904632568
928,00-0037239,C.Olave,Chris Olave,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/vtfhbyz1ofg6cgxxulw4",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,10,112.0,0,0.0,0.0,129.0,64.0,6.0,8.051495552062988,0,0.8682170510292053,0.3030303120613098,0.341269850730896,0.6934343576431274,0.0,11.199999809265137,19.200000762939453
988,00-0037545,R.Shaheed,Rashid Shaheed,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y96n1bum9eowfxmt1nbg",NO,2023,1,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,11.0,0,0.0,0.0,0.0,-1.3108301162719729,0,5,6,89.0,1,0.0,0.0,98.0,5.0,3.0,6.297441482543945,0,0.9081632494926452,0.1818181872367859,0.2592592537403106,0.4542087614536285,0.0,16.0,21.0
45,00-0030279,K.Allen,Keenan Allen,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/xs7h2igf85nta81v7zb8",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,8,10,111.0,2,0.0,0.0,107.0,21.0,5.0,11.187051773071287,0,1.037383198738098,0.2564102709293365,0.2635467946529388,0.5690981149673462,0.0,23.100000381469727,31.100000381469727
250,00-0033536,M.Williams,Mike Williams,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oaa76gdfwdhaum4b5qkh",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.2905690968036651,0,8,13,83.0,0,0.0,0.0,160.0,46.0,5.0,3.613907814025879,0,0.518750011920929,0.3333333432674408,0.3940886557102203,0.7758620977401733,0.0,8.600000381469727,16.600000381469727
302,00-0033895,G.Everett,Gerald Everett,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/te11unippqhdc6auox6i",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,3,47.0,0,0.0,0.0,20.0,27.0,2.0,3.627831697463989,0,2.3499999046325684,0.0769230797886848,0.0492610819637775,0.149867370724678,0.0,4.699999809265137,7.699999809265137
524,00-0035329,D.Parham,Donald Parham,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/a0edaf5rlkyc6syfvonz",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,7.0,0,0.0,0.0,31.0,1.0,1.0,0.0776849165558815,0,0.2258064448833465,0.0512820519506931,0.0763546824455261,0.1303713470697403,0.0,0.699999988079071,1.7000000476837158
575,00-0035688,T.Pipkins,Trey Pipkins,T,OL,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/v6tmtde91k7rtcl6liau",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,1,,,,,0.0,2.0,2.0
710,00-0036355,J.Herbert,Justin Herbert,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fwjdvww4dv36k8tvsws6",LAC,2023,2,REG,TEN,27,41,305.0,2,0.0,3.0,24.0,0,0,441.0,113.0,14.0,9.264942169189451,1,0.6916099786758423,0.1400291472673416,1,0.0,0,0.0,0.0,0.0,-1.5364234447479248,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,22.200000762939453,22.200000762939453
723,00-0036370,J.Kelley,Joshua Kelley,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/fsu6gqcltgnofaakmq6u",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,13,39.0,0,0.0,0.0,3.0,-2.232006549835205,0,0,1,0.0,0,0.0,0.0,4.0,0.0,0.0,-0.6614709496498108,0,0.0,0.0256410259753465,0.00985221657902,0.0453580915927886,0.0,3.900000095367432,3.900000095367432
888,00-0036988,J.Palmer,Josh Palmer,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/bbvzvwnb52cghz4fqyut",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,3,5,13.0,0,0.0,0.0,45.0,1.0,0.0,-3.3439557552337646,0,0.2888889014720917,0.1282051354646682,0.1108374372124672,0.2698938846588135,0.0,1.2999999523162842,4.300000190734863
980,00-0037475,S.Smartt,Stone Smartt,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lovcgush5dwvax5psh8q",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,1,24.0,0,0.0,0.0,21.0,3.0,1.0,2.1205990314483643,0,1.1428571939468384,0.0256410259753465,0.0517241396009922,0.0746684372425079,0.0,2.400000095367432,3.400000095367432
1064,00-0038045,I.Spiller,Isaiah Spiller,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mmgppj4johvoldlpuns3",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,0.0,-0.5249212980270386,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.3000000119209289,0.3000000119209289
1125,00-0038544,Q.Johnston,Quentin Johnston,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/eamj83siagr6rba0epv0",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,1,2,7.0,0,0.0,0.0,19.0,0.0,0.0,-0.5420713424682617,0,0.3684210479259491,0.0512820519506931,0.0467980280518531,0.1096816956996917,0.0,0.699999988079071,1.7000000476837158
1143,00-0038573,D.Davis,Derius Davis,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oux6ppjvwnapdwdtb8cb",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,10.0,0,0.0,0.0,1.0,3.549998998641968,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,1.0,1.0
1189,00-0038862,E.Dotson,Elijah Dotson,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/cwes69aylpxfhqmvqqr5",LAC,2023,2,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,4,6.0,0,0.0,0.0,0.0,-3.1967906951904297,0,2,2,13.0,0,0.0,0.0,-1.0,14.0,0.0,0.3764428496360779,0,-13.0,0.0512820519506931,-0.002463054144755,0.0751989409327507,0.0,1.899999976158142,3.900000095367432
42,00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/mq9ih2olutji2nufwbvj",CLE,2023,3,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,1.0,0,0.0,0.0,0.0,-0.5800505876541138,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.1000000014901161,0.1000000014901161
106,00-0031544,A.Cooper,Amari Cooper,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zibbxjtein7gpu5zgcj4",CLE,2023,3,REG,TEN,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,7,8,116.0,1,0.0,0.0,145.0,9.0,4.0,10.351850509643556,0,0.800000011920929,0.2580645084381103,0.6196581125259399,0.8208574652671814,0.0,17.600000381469727,24.600000381469727
