,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
36,00-0030061,Z.Ertz,Zach Ertz,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/t7my0kesdhb2iefvempm",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,6,10,21.0,0,0.0,0.0,56.0,6.0,1.0,-3.360602617263794,0,0.375,0.3333333432674408,0.301075279712677,0.7107526659965515,0.0,2.0999999046325684,8.100000381469727
210,00-0033251,Z.Pascal,Zach Pascal,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dnb115czpwythbso8avp",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,0,1,0.0,0,0.0,0.0,8.0,0.0,0.0,-0.5793663859367371,0,0.0,0.0333333350718021,0.0430107526481151,0.0801075249910354,0.0,0.0,0.0
255,00-0033553,J.Conner,James Conner,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/rmqdvrhlmhhyyrhp3vyu",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,14,62.0,0,0.0,0.0,3.0,-1.4025079011917114,0,5,5,8.0,0,0.0,0.0,-16.0,24.0,1.0,-2.4684202671051025,0,-0.5,0.1666666716337204,-0.0860215052962303,0.1897849440574646,0.0,7.0,12.0
323,00-0033949,J.Dobbs,Joshua Dobbs,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/srtjkedldovmoxqdclaa",ARI,2023,1,REG,WAS,21,30,132.0,0,0.0,3.0,18.0,1,1,186.0,63.0,9.0,-9.239667892456056,0,0.7096773982048035,0.0478199422359466,3,-3.0,0,1.0,0.0,0.0,-7.96104097366333,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,2.9800000190734863,2.9800000190734863
564,00-0035662,M.Brown,Marquise Brown,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/wgxeuyqliuweurzeigyh",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,29.0,0,0.0,0.0,1.0,2.1730704307556152,0,3,5,28.0,0,0.0,0.0,48.0,0.0,3.0,2.5659663677215576,0,0.5833333134651184,0.1666666716337204,0.2580645084381103,0.4306451678276062,0.0,5.699999809265137,8.699999809265137
848,00-0036936,R.Moore,Rondale Moore,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/yuwcs40qiqunbfrp9nip",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,2,12.0,0,0.0,0.0,0.0,-0.3255146443843841,0,3,3,33.0,0,0.0,0.0,8.0,25.0,1.0,1.517450213432312,0,4.125,0.1000000014901161,0.0430107526481151,0.1801075339317321,0.0,4.5,7.5
970,00-0037299,K.Ingram,Keaontay Ingram,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ljj0swqga7olgvqnokof",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,5,-4.0,0,0.0,0.0,0.0,-3.6633026599884033,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,-0.4000000059604645,-0.4000000059604645
1019,00-0037744,T.McBride,Trey McBride,TE,TE,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/x7x9ze5msigs8u57ydvl",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,2,23.0,0,0.0,0.0,14.0,9.0,2.0,1.5979559421539309,0,1.6428571939468384,0.0666666701436042,0.0752688199281692,0.1526881754398346,0.0,2.299999952316284,4.300000190734863
1137,00-0038559,M.Wilson,Michael Wilson,WR,WR,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/o5sshsrygioektzjsahk",ARI,2023,1,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,0,0.0,0,0.0,0.0,0.0,,0,2,4,19.0,0,0.0,0.0,68.0,-1.0,1.0,-2.072323799133301,0,0.2794117629528045,0.1333333402872085,0.3655914068222046,0.4559139907360077,0.0,1.899999976158142,3.900000095367432
16,00-0029263,R.Wilson,Russell Wilson,QB,QB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gebzv2aljujgleboe4ns",DEN,2023,2,REG,WAS,18,32,308.0,3,1.0,7.0,31.0,1,1,300.0,110.0,8.0,3.3465051651000977,0,1.0266666412353516,0.1483383178710937,6,56.0,0,0.0,0.0,6.0,6.462871551513672,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,25.920000076293945,25.920000076293945
121,00-0031595,M.Burton,Michael Burton,FB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/y8chssh9pcuzv5uc7nai",DEN,2023,2,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,3.0,0,0.0,0.0,1.0,0.0812467113137245,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,0.3000000119209289,0.3000000119209289
246,00-0033526,S.Perine,Samaje Perine,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/kpdo0ztyzhjobhk4p29a",DEN,2023,2,REG,WAS,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,1,4.0,0,0.0,0.0,0.0,-0.0325166843831539,0,3,4,20.0,0,0.0,0.0,-8.0,23.0,0.0,0.6902323961257935,0,-2.5,0.1481481492519378,-0.0281690135598182,0.2025039196014404,0.0,2.400000095367432,5.400000095367432
